               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.047824,            0.014791,            0.022478,             0.95158,             0.94413,             0.98964,             0.67883,            0.018381,           0.0070202,            0.015227,            0.002935,            0.002935,            0.070335
                 109,            0.043329,             0.01294,            0.022972,             0.48439,               0.825,             0.69644,             0.25282,            0.032857,           0.0070106,            0.014745,           0.0029562,           0.0029562,            0.070056
                 110,             0.04911,            0.015339,            0.020635,             0.94892,             0.92906,             0.98288,              0.5303,            0.023006,           0.0068196,            0.014102,           0.0029771,           0.0029771,            0.069777
                 111,            0.049555,             0.01134,            0.022298,              0.8341,             0.83625,             0.92423,             0.53122,            0.026555,           0.0065923,            0.013654,            0.002998,            0.002998,            0.069498
                 112,            0.041055,            0.015146,            0.019866,             0.95915,             0.99981,               0.995,             0.45529,            0.022416,           0.0067183,            0.012562,           0.0030187,           0.0030187,            0.069219
                 113,             0.04626,            0.011994,             0.01781,             0.48698,               0.975,             0.71221,             0.39706,             0.04078,           0.0067418,            0.011984,           0.0030392,           0.0030392,            0.068939
                 114,            0.052673,             0.01189,            0.018716,             0.96149,               0.975,             0.99381,             0.32109,            0.026871,           0.0067954,            0.011157,           0.0030596,           0.0030596,             0.06866
                 115,            0.045041,            0.011863,            0.018164,             0.85141,                0.95,             0.98875,             0.74962,            0.023481,            0.006679,            0.010498,           0.0030798,           0.0030798,             0.06838
                 116,            0.041873,            0.013401,            0.019921,             0.79334,             0.92386,             0.86831,             0.48266,            0.022538,           0.0069364,            0.010328,           0.0030999,           0.0030999,              0.0681
                 117,            0.047307,            0.013401,            0.017634,             0.74452,                0.95,             0.94121,              0.2754,            0.033712,            0.006737,            0.010216,           0.0031198,           0.0031198,             0.06782
                 118,            0.050521,            0.012085,            0.015804,             0.94969,             0.94675,             0.98207,             0.52977,            0.027879,           0.0065956,            0.010292,           0.0031395,           0.0031395,            0.067539
                 119,            0.054211,            0.013804,            0.015656,             0.38504,             0.99959,             0.62587,             0.17066,            0.037574,           0.0066257,           0.0099776,           0.0031591,           0.0031591,            0.067259
                 120,            0.054076,              0.0132,            0.014983,             0.81563,             0.69797,             0.79476,             0.30894,            0.024567,            0.006856,           0.0085185,           0.0031785,           0.0031785,            0.066978
                 121,            0.046294,            0.012707,            0.016069,             0.67284,             0.94984,             0.84562,             0.38851,            0.032442,           0.0064971,           0.0081219,           0.0031977,           0.0031977,            0.066698
                 122,            0.041988,            0.011972,            0.014371,               0.974,                   1,               0.995,               0.599,            0.021251,           0.0065951,           0.0075413,           0.0032168,           0.0032168,            0.066417
                 123,            0.047063,            0.011991,            0.013944,             0.85814,             0.94998,              0.9485,             0.37776,            0.029409,           0.0066705,           0.0072673,           0.0032358,           0.0032358,            0.066136
                 124,            0.050053,            0.013272,            0.015118,             0.97223,             0.99962,               0.995,              0.4312,            0.025585,            0.006324,           0.0077323,           0.0032545,           0.0032545,            0.065855
                 125,            0.046729,            0.011918,            0.014154,             0.72816,               0.725,             0.83377,             0.41145,            0.027177,           0.0063932,           0.0070097,           0.0032731,           0.0032731,            0.065573
                 126,             0.04488,            0.013074,            0.013509,             0.54123,             0.92273,             0.66968,             0.19811,              0.0254,           0.0065159,           0.0067307,           0.0032915,           0.0032915,            0.065292
                 127,            0.046747,            0.012211,            0.014494,             0.52571,             0.92356,             0.71079,             0.19236,            0.028904,           0.0064525,           0.0066133,           0.0033098,           0.0033098,             0.06501
                 128,            0.046882,            0.013871,            0.016424,             0.90831,                   1,             0.97518,             0.58445,            0.023638,           0.0063858,           0.0062925,           0.0033279,           0.0033279,            0.064728
